date,n_selected,tickers_list,gross_return,turnover,net_return,cum_gross,cum_net
2025-05-26,1,BID,-0.0014100394811054442,0.3333333333333333,-0.0027433728144387777,0.9985899605188946,0.9972566271855612
2025-06-02,1,BID,-0.004248088360237934,0.0,-0.004248088360237934,0.9943478621309638,0.9930201929154441
2025-06-09,2,"BID,VCB",0.009262287708542797,0.3333333333333333,0.007928954375209463,1.0035577981123953,1.0008938047187323
2025-06-16,3,"BID,VCB,ACB",0.0007824726134585033,0.3333333333333333,-0.00055086071987483,1.0043430546054408,1.0003424516369468
2025-06-23,2,"VCB,BID",0.006509017276509358,0.3333333333333333,0.005175683943176025,1.0108803408994098,1.0055199080015615
2025-06-30,3,"MBB,VCB,BID",0.020213287077483155,0.3333333333333333,0.018879953744149823,1.0313135554309936,1.0245040773534528
2025-07-07,3,"MBB,BID,VCB",0.04128938597205134,0.0,0.04128938597205134,1.0738958588793923,1.06680522163324
2025-07-14,3,"MBB,BID,VCB",-0.007463014443936859,0.0,-0.007463014443936859,1.0658813585732916,1.058843638855324
2025-07-21,3,"MBB,BID,VCB",0.03348233545278889,0.0,0.03348233545278889,1.101569555773917,1.0942961967635296
2025-07-28,2,"MBB,BID",-0.012537462584952067,0.3333333333333333,-0.0138707959182854,1.087758668683679,1.0791174375440669
2025-08-04,1,MBB,0.03324700239808154,0.3333333333333333,0.031913669064748205,1.1239233837499394,1.1135560343278472
2025-08-11,1,MBB,0.05454957783825298,0.0,0.05454957783825298,1.1852329298560393,1.1743000458996704
2025-08-18,1,MBB,-0.006021537615871098,0.0,-0.006021537615871098,1.1780960051853422,1.1672289540009664
2025-08-25,3,"HDB,MBB,VIB",0.05243633883428737,0.6666666666666666,0.0497696721676207,1.2398710464925613,1.2253215563861493
2025-09-03,2,"HDB,VIB",-0.03795362938751552,0.3333333333333333,-0.039286962720848854,1.1928134403056716,1.1771823940793542
2025-09-10,3,"MBB,HDB,VIB",-0.010757974201064687,0.3333333333333333,-0.012091307534398021,1.17998118408818,1.1629487197284618
2025-09-17,3,"HDB,TCB,VIB",-0.0036362106144680606,0.6666666666666666,-0.006302877281134727,1.175690523981726,1.1556187966637606
2025-09-24,1,HDB,0.002112378538234057,0.6666666666666666,-0.0005542881284326096,1.17817402741219,1.1549782508837763
2025-10-01,1,HDB,0.006017352364959446,0.0,0.006017352364959446,1.1852635156823723,1.1619281619932085
2025-10-08,1,HDB,0.017457044673539514,0.0,0.017457044673539514,1.2059547138255562,1.1822119938245677
2025-10-15,1,HDB,-0.006008359456635322,0.0,-0.006008359456635322,1.1987089044164685,1.1751088392117242
2025-10-22,1,HDB,0.008431763766959383,0.0,0.008431763766959383,1.2088161347238588,1.1850170793444232
2025-10-29,0,,0.0,0.0,0.0,1.2088161347238588,1.1850170793444232
2025-11-05,1,HDB,-0.011278195488721849,0.3333333333333333,-0.012611528822055183,1.195182870046522,1.1700722022936434
2025-11-12,1,HDB,0.014411298457991087,0.0,0.014411298457991087,1.2124070070986408,1.186934462018296
2025-11-19,1,HDB,0.010636828291200457,0.0,0.010636828291200457,1.2253031722521972,1.199559680083693
2025-11-26,1,HDB,-0.0004016064257027866,0.0,-0.0004016064257027866,1.2248110826247867,1.1990779292081575
2025-12-03,1,HDB,-0.0010722423267658745,0.0,-0.0010722423267658745,1.2234977883397045,1.1977922270993697
2025-12-10,0,,0.0,0.0,0.0,1.2234977883397045,1.1977922270993697
2025-12-17,0,,0.0,0.0,0.0,1.2234977883397045,1.1977922270993697
2025-12-24,3,"MBB,HDB,VCB",0.018769102468616444,1.0,0.014769102468616443,1.246461743699178,1.2154825432375127
2025-12-31,3,"HDB,MBB,BID",0.06335188909038614,0.6666666666666666,0.06068522242371947,1.3254274498414178,1.2892443717260296
2026-01-09,3,"HDB,BID,VCB",0.09144471738464628,0.6666666666666666,0.08877805071797962,1.4466307884060186,1.4037009739469928
2026-01-16,1,HDB,0.01079671939074404,0.6666666666666666,0.008130052724077373,1.4622496550904494,1.4151131368740204
2026-01-23,2,"HDB,MBB",-0.009068168187431058,0.3333333333333333,-0.010401501520764392,1.448989729286076,1.4003938354287717
2026-01-30,2,"HDB,MBB",-0.01936317813344416,0.0,-0.01936317813344416,1.4209326830443787,1.3732777601363875
2026-02-06,1,HDB,0.021383647798742134,0.3333333333333333,0.0200503144654088,1.4513174070843213,1.4008124110754743
2026-02-13,1,HDB,-0.0029550827423167796,0.0,-0.0029550827423167796,1.4470286440610225,1.396672894494282
2026-02-27,1,HDB,-0.024448419797257016,0.0,-0.024448419797257016,1.411651080312363,1.3625264492502356
2026-03-06,1,HDB,-0.003861003861003816,0.0,-0.003861003861003816,1.4062006900408868,1.3572657293689605
2026-03-13,1,HDB,-0.0078125,0.0,-0.0078125,1.3952147471499423,1.3466620908582656
2026-03-20,1,HDB,0.0040000000000000036,0.0,0.0040000000000000036,1.400795606138542,1.3520487392216987
2026-03-27,1,HDB,0.0039525691699604515,0.0,0.0039525691699604515,1.4063323476647813,1.3573928053846303
2026-04-03,1,HDB,0.007161458333333259,0.0,0.007161458333333259,1.4164037381754013,1.3671137174023587
2026-04-10,0,,0.0,0.0,0.0,1.4164037381754013,1.3671137174023587
2026-04-17,0,,0.0,0.0,0.0,1.4164037381754013,1.3671137174023587
2026-04-24,0,,0.0,0.0,0.0,1.4164037381754013,1.3671137174023587
