ticker,horizon_days,n_test,temperature,ref_std,da_full,da_cov50,da_cov30,da_cov20,da_cov10,baseline_lag1_da,bt_return_pct,bt_bh_return_pct,bt_sharpe,bt_mdd_pct,bt_win_rate_pct,bt_profit_factor,bt_num_trades,bt_threshold,bt_floor_triggered
VCB,5,232,5.0,0.03677688090403336,0.5862068965517241,0.5517241379310345,0.5857142857142857,0.5106382978723404,0.6666666666666666,0.3984375,8.364957883886536,5.67238027920125,2.4713473734399534,-1.7202307720712147,50.0,4.054951000454888,6,0.07603695309351675,False
BID,5,232,5.0,0.04794822281430397,0.5344827586206896,0.5,0.5428571428571428,0.574468085106383,0.7916666666666666,0.46875,-1.1656341194512088,12.150837988826812,-0.5637062369484329,-4.14715362620222,66.66666666666666,0.7444451094763176,3,0.1789262064550163,False
CTG,5,232,5.0,0.04433007664651971,0.39655172413793105,0.5431034482758621,0.5857142857142857,0.6595744680851063,0.75,0.5078125,0.0,29.7539149888143,0.0,0.0,0.0,0.0,0,0.3,False
MBB,5,220,3.687348209569529,0.039500131321006104,0.6454545454545455,0.6727272727272727,0.6818181818181818,0.6818181818181818,0.6363636363636364,0.5040983606557377,40.82742834406168,41.22759369907658,5.284637328384251,-0.8543751678999847,83.33333333333334,23.931941206719763,12,0.3,False
TCB,5,160,0.9924158304256429,0.044929725072843006,0.4875,0.625,0.5625,0.59375,0.75,0.47282608695652173,0.0,-8.80337374802319,0.0,0.0,0.0,0.0,0,0.3,False
VPB,5,179,3.337918730804471,0.04979292841617221,0.48044692737430167,0.5333333333333333,0.5,0.6111111111111112,0.6111111111111112,0.541871921182266,0.0,9.914714323515605,0.0,0.0,0.0,0.0,0,0.3,False
ACB,5,220,5.0,0.03791913315818822,0.4409090909090909,0.5181818181818182,0.48484848484848486,0.3409090909090909,0.4090909090909091,0.47950819672131145,-1.0109004739336624,11.374407582938373,-2.4208295461107068,-1.0109004739336598,0.0,0.0,1,0.1347871296628809,False
HDB,5,170,5.0,0.04328980893349317,0.5529411764705883,0.4823529411764706,0.49019607843137253,0.47058823529411764,0.5294117647058824,0.6134020618556701,7.383598014539805,21.15856741381117,1.171845702721316,-13.90751142371823,50.0,1.340793749321049,22,0.2930742098351507,False
SHB,5,214,1.7408585521687465,0.057838336314643114,0.4719626168224299,0.5981308411214953,0.640625,0.7209302325581395,0.6363636363636364,0.4831932773109244,0.0,24.461670973298876,0.0,0.0,0.0,0.0,0,0.3,False
VIB,5,194,1.0463326043832404,0.04857103303926742,0.44329896907216493,0.5360824742268041,0.46551724137931033,0.5384615384615384,0.55,0.42201834862385323,-5.491873589164764,3.458556946929048,-2.5816545219220273,-5.4918735891647685,0.0,0.0,1,0.3,False
